,round,duration,packets_per_ms,receivers,senders,rate_r,rate_s,% sent,% loss
0,0,8,1,50,50,11.198599999999999,11.198684,99.98825,0.0007500881353559043
1,1,8,2,50,50,22.369872,22.397256000000002,99.98774999999999,0.12226497745973881
2,2,8,3,50,50,33.575444000000005,33.595828000000004,99.98758333333333,0.0606742003798805
3,3,8,4,50,50,44.746296,44.794484000000004,99.98768749999999,0.10757574526363559
4,4,8,5,50,50,55.81394,55.993083999999996,99.98764999999999,0.3199395125297974
5,5,8,6,50,50,66.469312,67.1916,99.9875,1.0749677042963706
6,6,8,7,50,50,76.263684,78.390256,99.98757142857143,2.712801448179988
7,7,8,8,50,50,86.66951999999999,89.58885599999999,99.98756250000001,3.258592787477942
