,from,to,round,duration,packets_per_ms,bytes_s,bytes_r,packets_s,packets_r,senders,receivers
91,28,29,3,8,4,44794400,44781800,31996,31987,1,1
92,28,29,4,8,5,55993000,55983200,39995,39988,1,1
93,28,29,5,8,6,67191600,67120200,47994,47943,1,1
94,28,29,6,8,7,78390200,78108800,55993,55792,1,1
95,28,29,7,8,8,89588800,89353600,63992,63824,1,1
96,30,31,0,8,1,11198600,11198600,7999,7999,1,1
97,30,31,1,8,2,22397200,22393000,15998,15995,1,1
98,30,31,2,8,3,33595800,33584600,23997,23989,1,1
99,30,31,3,8,4,44794400,44794400,31996,31996,1,1
100,30,31,4,8,5,55993000,55937000,39995,39955,1,1
101,30,31,5,8,6,67191600,66922800,47994,47802,1,1
102,30,31,6,8,7,78390200,77967400,55993,55691,1,1
103,30,31,7,8,8,89588800,89171600,63992,63694,1,1
104,32,33,0,8,1,11198600,11198600,7999,7999,1,1
105,32,33,1,8,2,22397200,22397200,15998,15998,1,1
106,32,33,2,8,3,33595800,33595800,23997,23997,1,1
107,32,33,3,8,4,44794400,44766400,31996,31976,1,1
108,32,33,4,8,5,55993000,55946800,39995,39962,1,1
109,32,33,5,8,6,67191600,67026400,47994,47876,1,1
110,32,33,6,8,7,78390200,78008000,55993,55720,1,1
111,32,33,7,8,8,89588800,89342400,63992,63816,1,1
112,34,35,0,8,1,11198600,11198600,7999,7999,1,1
113,34,35,1,8,2,22397200,22397200,15998,15998,1,1
114,34,35,2,8,3,33595800,33595800,23997,23997,1,1
115,34,35,3,8,4,44794400,44794400,31996,31996,1,1
116,34,35,4,8,5,55993000,55993000,39995,39995,1,1
117,34,35,5,8,6,67191600,67191600,47994,47994,1,1
118,34,35,6,8,7,78390200,78383200,55993,55988,1,1
119,34,35,7,8,8,89588800,89503400,63992,63931,1,1
120,36,37,0,8,1,11198600,11198600,7999,7999,1,1
121,36,37,1,8,2,22397200,22395800,15998,15997,1,1
122,36,37,2,8,3,33597200,33597200,23998,23998,1,1
123,36,37,3,8,4,44794400,44760800,31996,31972,1,1
124,36,37,4,8,5,55993000,55906200,39995,39933,1,1
125,36,37,5,8,6,67191600,67132800,47994,47952,1,1
126,36,37,6,8,7,78390200,78125600,55993,55804,1,1
127,36,37,7,8,8,89588800,89422200,63992,63873,1,1
128,38,39,0,8,1,11198600,11198600,7999,7999,1,1
129,38,39,1,8,2,22397200,22397200,15998,15998,1,1
130,38,39,2,8,3,33595800,33595800,23997,23997,1,1
131,38,39,3,8,4,44794400,44794400,31996,31996,1,1
132,38,39,4,8,5,55993000,55993000,39995,39995,1,1
133,38,39,5,8,6,67191600,67191600,47994,47994,1,1
134,38,39,6,8,7,78390200,78390200,55993,55993,1,1
135,38,39,7,8,8,89588800,89588800,63992,63992,1,1
136,4,5,0,8,1,11198600,11198600,7999,7999,1,1
137,4,5,1,8,2,22397200,22388800,15998,15992,1,1
138,4,5,2,8,3,33595800,33593000,23997,23995,1,1
139,4,5,3,8,4,44794400,44794400,31996,31996,1,1
140,4,5,4,8,5,55993000,55990200,39995,39993,1,1
141,4,5,5,8,6,67191600,67191600,47994,47994,1,1
142,4,5,6,8,7,78390200,32750200,55993,23393,1,1
143,4,5,7,8,8,89588800,89570600,63992,63979,1,1
144,40,41,0,8,1,11198600,11198600,7999,7999,1,1
145,40,41,1,8,2,22397200,22397200,15998,15998,1,1
146,40,41,2,8,3,33595800,33595800,23997,23997,1,1
147,40,41,3,8,4,44794400,44794400,31996,31996,1,1
148,40,41,4,8,5,55993000,55993000,39995,39995,1,1
149,40,41,5,8,6,67191600,67160800,47994,47972,1,1
150,40,41,6,8,7,78390200,78360800,55993,55972,1,1
151,40,41,7,8,8,89588800,89440400,63992,63886,1,1
152,42,43,0,8,1,11198600,11198600,7999,7999,1,1
153,42,43,1,8,2,22397200,22394400,15998,15996,1,1
154,42,43,2,8,3,33595800,33425000,23997,23875,1,1
